"","job_title","company_name","job_location","job_description"
"75","Preconstruction Sales Engineer","ColonialWebb","Richmond, VA","Richmond, VAPreconstruction Sales Engineer

ColonialWebb is seeking talented, drive, and career-minded individual to be our new Preconstruction Sales Engineer.About Us

ColonialWebb is one of the largest commercial, mechanical, and electrical contractors in the South Atlantic region. We proudly serve clients from local small businesses to Fortune 500 companies. For nearly 50 years, our presence is alive across Virginia, the Carolinas, DC/Maryland, and several surrounding states. We specialize in New Construction, Mechanical Service, Industrial Refrigeration, Special Projects, and Manufacturing.

We continuously seek individuals who want to invest in themselves and their teammates.
Position Overview

Manage relationships with customers, owners, general contractors, architects and engineers. Support business objectives through customer face-time, design-build engineering and preconstruction coordination.General Requirements
Bachelor s Degree in Mechanical Engineering, Building Construction, or Construction Engineering Management.
Possesses sales skills/capabilities necessary for customer acquisition, closing, and retention.
Strong analysis and problem solving skills to address engineering and design-build opportunities.
Proficient with technology including Microsoft Excel for cost estimating and engineering functions.
Client management skills; ability to manage customer relationships, perceptions and expectations
Ability to deal diplomatically with internal and external customers at various levels within an organization—i.e., owners, GC s, subcontractors, engineers, superintendents, draftsmen, etc.
Knowledge and interest of business and management principles involved in strategic planning, accounting, cost forecasting, resource allocation, and coordination of people and resources.
Excellent written and verbal communications skills.
Ability to explain tangible and intangible differentiators between our services and our competitors
Capable of maintaining a high energy level to handle a dynamic, fast-paced workload
Must be able to work independently and with minimal supervision
Must be able to work a flexible schedule when necessary.
Possess a valid driver s license and willing to travel to consult with customers within territory.
Ability to work without direct supervision.
Specific Duties
Represent the Company, in outside activities, to enhance its reputation and goodwill.
Act as liaison for the collection and dissemination of information for Division estimating and sales.
Network with owners, architects and engineers to develop knowledge of future projects.
Maintain contact with key executives and/or decision makers of customers.
Publish monthly sales order and sales order forecast reports.
Identify projects, which are strong opportunities, communicate with prospective GC bidders, and develop best strategy to place company in position to obtain award.
Responsible for sales lead on all major projects in his respective region. Work with other sales personnel to coordinate joint/assigned customer efforts.
Provide sufficient backlog to meet or exceed Construction Division revenue and gross profit objectives.
Manage client preconstruction inquiries and customer RFP/RFQ solicitation responses.
Manage the design-build engineering process including coordination with owner and architect, selection of MEP consultant, concept development, and final drawing approval.
Develop, manage, and update bid activity, scheduling, and sales reports to track estimating manpower requirements/workload, bidding schedule, sales call logs, construction sales report, and change order report.
Prepare, submit for approval and implement annual sales plan including marketing direction, geography and market focus, project type and schedule, and annual order quota.
Evaluate market and competitive conditions and make recommendations to the Preconstruction Manager on pricing levels.
Assist with the preparation and execution of marketing efforts for the Division.
Assist the Preconstruction Manager in preparing annual budgets including sales and gross profit relative to new order entry.
Assist Estimating Manager with updating weekly bid schedule/closeable/future projects lists.
Review drawings and gather quotes from vendors for estimating projects, as needed.
Assist in the development of complete job setup package upon award of projects.
Develop of major proposals and presentations.
Attend meetings with Project Management to review progress of project and estimating activities.
Other duties as assigned by Preconstruction Manager.
Benefits and Perks
Top market, competitive wages based on experience.
Overtime opportunities.
Company van.
Company uniforms.
Company Hardware (IPad, phone, etc.)
401(k) plan with a generous company match.
Excellent Medical, dental, vision, and Rx drug insurance (with low premiums).
Life and accidental death insurance.
Short and Long-Term Disability insurance.
Generous personal leave.
Paid Holidays, and Bereavement Leave.
Tablet/ mobile phone.
Service lead incentives.
Opportunities for career growth, training, and development.
Tuition reimbursement.
Employee referral incentives.
Scholarship program for employees children.
Discounts at major automotive, computer, and cell phone companies.
And much more…
How to Apply

Employment applications are accepted online at www.ColonialWebb.com/careers.

EOE M/W/Disability/Vets"
"76","Sales Engineer","SES","United States","United StatesOther5+ years experienceSeeking a challenging, yet rewarding, career in the satellite industry? Want to join a winning team of satellite professionals committed to helping the U.S. government and U.S. military meet their communications needs? Then SES Government Solutions is the place you want to be! Let us help you grow in your professional development while you help our team win contracts with your knowledge and experience.SES Government Solutions (SES GS) is an independent corporation and wholly owned subsidiary of SES SA.Leveraging a 30-year heritage of experience in the government SATCOM market, we offer comprehensive satellite-based communications solutions that enable federal agencies, using secure broadband communications, to fulfill both routine and mission-critical requirements.With access to a fleet of over 71 satellites , our full range of satellite services and end-to-end solutions allows for secure, reliable communications and comprehensive global coverage.Our reputation for operational excellence and highly reliable network solutions has been validated by long-term relationships with diverse government customers including DoD, U.S. Army, U.S. Air Force, U.S. Navy, State Department, Department of Commerce/NOAA, Department of Justice, Department of the Interior, Department of Transportation, Intelligence Community and other civilian and defense-related agencies.Satellite Sales Engineer
Reston, Virginia
Your JobYou will provide technical support in evaluating, developing, presenting, and implementing technical SATCOM solutions for customer’s service requirements.Your ResponsibilitiesPerforms pre-qualification technical due diligence of contract opportunities, bid/no bid recommendations, develops and optimizes systems design, equipment recommendation, competitive and cost analysis, participates in proposal write up and issues service activation instructions
Performs Link budget analysis, assigns carriers, optimizes the loading of satellite transponders and maintains the records of service, time and carrier parameters in SES’ satellite resources management database
Issues line-up (SES and Government formatted) instructions to customers and payload/satellite operation centers for service activations/de-activations, transponder reconfigurations and carriers’ transition from one satellite to another such that continuation of service and overall system integrity is preserved and not compromised
Coordinates with customers, engineering operations and asset management groups for the resolution of operational problems and satellite interference complaints
Works closely with sales/program management in responding to customer’s inquiries and provides engineering support, analyzes results for sales, customers, and service provisioning personnel
Recommends/manages test process and evaluates system for acceptance
Provides support for registration of customer’s earth station antennas in compliance with technical standardsYour ProfileTo be successful in this role you will have a background in the satellite field doing link budgets.Furthermore, your qualifications should be:Eligible for US Government Secret Security Clearance
Bachelor’s Degree in Electrical or Systems Engineering or a minimum five years satellite sales engineering and customer solutions experience
Minimum five years’ experience and proficiency in satellite link budget analysis
Knowledge of link budget analysis tools such as Satmaster and Complan
Proficiency in satellite transmission plans and link optimization
Knowledge of GEO and MEO satellite systems and capabilities
Knowledge of terrestrial backhaul and provisioning process
Knowledge of voice, data and IP networking
Knowledge of VSAT network products and systems
Working knowledge and experience with satellite systems ground segment
Experience on satellite modem technology such as iDirect, EFData and Newtec
Experience with preparing block and circuit diagrams with Microsoft Visio
Excellent written/verbal communication skillsWe offer you:
Competitive pay and annual bonus
Medical, dental, vision, HSA, FSA, wellness program – eligible first day of work
6% 401K match – vested on day one
25 vacation days per year, 10 sick days, 5 bereavement days, unlimited jury duty
Company paid Short and Long-Term disability
Company paid life insurance and AD&D
10 Federal holidays
Many training opportunities – including paid college and industry specific training
Fitness Coach and access to gym at the Reston facility
Telecommuting one day a week from homeBy joining our team, you not only support the U.S. Government, you will support the war fighter in the field by helping them exceed at their mission - to protect our country!SES GS and its Affiliated Companies are committed to hiring and retaining a diverse workforce. We are an Equal Opportunity/Affirmative Action employer and will consider all qualified applicants for employment without regard to race, color, religion, gender, pregnancy, sex, sexual orientation, gender identity, national origin, age, genetic information, protected veteran status, disability, or any other basis protected by local, state, or federal law. In conformity with U.S. Government technology export regulations, including the International Traffic in Arms Regulations (ITAR) and the Export Administration Regulations (EAR), and/or other applicable U.S. law, regulation or other requirements imposed by the U.S. Government, certain positions may require U.S. Citizenship, status as a lawful permanent resident of the U.S. or a “protected individual” as defined by 8 U.S.C. 1324b(a)(3), or eligibility to obtain the required authorizations from the U.S. Department of State or U.S. Department of Commerce."
"77","Commercial Outside Sales Engineer","Carrier Enterprise, LLC","Orlando, FL 32808","Orlando, FL 328085+ years experienceThe Florida Region of Carrier Enterprise sells residential and light commercial Heating, Ventilation and Air Conditioning (HVAC) products, parts and supplies through dealers (independent companies that sell, deliver and service HVAC products to residences and businesses in their respective markets). We currently have an exciting Commercial Outside Sales Engineer position located in Jacksonville, Florida. This position will focus on the sales of HVAC Commercial Products in the Orlando area.
SUMMARY
The Sales Engineer works as a technical sales consultant to engineers, architects, contractors, and owners/developers in the design, application and sale of unitary heating and ventilation systems, controls and related material across our distributor network.
RESPONSIBILITIES
Contact and call on consulting engineers, mechanical contractors, architects, and owners to achieve annual sales and gross margin goals.
Conduct sales, design, and application training to above reference key decision makers
Work with specifying engineers and design-build contractors to help specify CE products
Create new business through organized prospecting and increase our share of business from assigned territory
Conduct take-offs of plans and specifications; develop and price estimates, write the proposal and bid jobs.
Participate in local and regional trade organizations and trade shows.
Provide and/or coordinate technical and product training to customersSKILLS
Results oriented
Highly organized self-starter
Ability to master complex technical data quickly
Good communication (written and oral) skills
Proven ability to build and maintain productive relationshipsQUALIFICATIONS
5+ years of proven technical sales, HVAC sales experience
An undergraduate degree in Mechanical Engineering or a similar technical discipline
Solid understanding of HVAC principles
Verifiable experience with specified products
Strong presentation skills
Proficient with a PC and Microsoft Office applicationsUndergraduate degree in Mechanical Engineering or similar technical discipline
Additional Information:

No relocation will be provided.
Carrier Enterprise is an Equal Opportunity Employer"
"78","Sales Engineer (LA)","FS-Curtis","Los Angeles, CA","Los Angeles, CA5+ years experienceThe SALES ENGINEER is responsible for actively driving sales and business development as well as formulating strategies to grow sales revenue, market share and customer satisfaction in assigned territory. The Sales Engineer will establish, maintain, and grow strong relationships throughout the sales cycle. The Sales Engineer will serve customers by identifying their needs; engineering adaptations of products, equipment, and service.
DUTIES, TASKS AND RESPONSIBILITIES (Additional Responsibilities as Directed)
• Grow sales and customer base with strengthening relationships with existing customers
• Establish new accounts and service accounts by identifying potential customers; planning and organizing sales call schedule
• Analyze target accounts in order to develop penetration strategies to increase market share
• Work with Sales, Service and Parts Departments in a team oriented fashion
• Provide product, service, or technical and engineering information by answering questions and requests
• Serve as a liaison and advocate between the customer and the organization; Own responsibility to create highly satisfied customers
• Contribute to sales engineering effectiveness by identifying short-term and long-range issues that must be addressed; providing information and commentary pertinent to deliberations, recommending options and courses of action; implementing directives
• Responsible for representing the product to customers and at field events
• Coordinate with branches to generate new sales, proposals, and problem resolution
• Utilization of company CRM/reporting systems
• Actively seek out and participate in formal and informal training opportunities
KNOWLEDGE, SKILLS AND ABILITIES REQUIRED:
• Knowledge of technical products, rotating equipment, air compression products and their applications
• Knowledge of industrial distribution
• Five years relevant sales and or sales management experience
• Effective sales competency; able to eliminate sales obstacles through creative and adaptive approaches; able to sell to customer needs
• High level of analytical ability is needed to find solutions to human, technical or administrative problems
• Self-starter and ability to function independently without daily close management
• Ability to prioritize and work the necessary hours to effectively execute the job responsibilities
• Well organized relative to time and territory management and associated administrative functions
• Strong communication skills, both written and oral; Strong presentation skills
• Proficient in computer related skills; I.E. Microsoft Office applications, CRM
• Advocate a safety-first attitude in all aspect of the position
• Travel up to 50% of the time may be required to accounts, meetings, company related functions
EDUCATION : Bachelor’s Degree preferred
EDUCATION TYPE : Technical or Business
FS-Curtis /Cal-Air is committed to a diverse workforce and is an Equal Opportunity Employer."
"79","Systems Engineer - Outside Sales","ACF, Inc","Miami, FL","Miami, FL2+ years experienceJob Description
Job Summary

This position sells air compressor products using technical, organizational, and customer knowledge to influence customers and assist them in applying the products to their needs resulting in revenue generation. Provides input and participates in marketing of air compressor products.

Essential Job Functions

Develop sales proposals of air compressor products for customers and professionally present proposals to plant engineers, maintenance personnel, purchasing agents, and/or company executivesResearch and evaluate customer application in order to properly size and develop a system layout that meets the customer’s needsConduct air system surveys to aid in customers’ air system understanding, and to provide precise engineered solutions.
Ensure the establishment of industry contacts and develop a list of potential customersFollow up on sales leads and make cold callsMaintain updated understanding of industry trends, technical developments, and government regulations that effect target marketsProactively take action to close sales and finalize contractsMeet established sales quotas and revenue goalsResolve customer’s problems with product and/or servicesFollow up on product deliveries and set proactive expectations with customer for ongoing vendor/customer relationship.Monitor and work within established expense allowanceGenerate detailed scope of supply (PMU) proposal; provide PMU and customer PO to Sales Coordinator for processingAdditional Job Functions
Establish and maintain a sub-dealer network within geographic territory, including training the sub-dealer and assisting them with the financial aspect of the businessAssist Accounts Receivable to collect payment and financial documents from customers when necessaryEstablish and maintain a teamwork approach in the area of aftermarket products and service departments in order to develop and maintain customer loyalty
Experience and Skills
Required Knowledge, Skills and Abilities (including physical and work environment)

Well developed sales and presentation skillsComputer literacy is required, including a working knowledge of applications such as Outlook, Word, PowerPoint, and ExcelBasic mechanical and technical aptitude including geometric and other mathematical formulasExcellent oral and written communication skillsAbility to establish a solid relationship with manufacturerProven interpersonal skills with both internal and external customersBasic marketing knowledgeMust be able to handle high pressure situations and adapt well to changes in the marketMinimum Job Qualifications (education, work experience, licenses/certifications)
Bachelor’s degree or 3 to 5 years of sales experience (industrial sales preferred), or an equivalent combination of education and experience
Must be able to properly operate a forklift (company certification required)"
"80","Contractor/Consulting Sales Engineer","Johnson Controls","Chicago, IL 60607 (Near West Side area)","Chicago, IL 606071+ years experienceWhat you will do
Under general direction is responsible for the sale of Johnson Controls BE offerings to mechanical contractors, designers and consulting engineers. Promote the Johnson Controls value proposition to construction community by providing business and technical solutions. Builds and manages long term customer relationships/partnerships with assigned accounts. Responsible for customer satisfaction and loyalty while working in conjunction with operations partners. Positions renewable service agreements as a foundation of managed account relationships.How you will do it
Sells, with minimal supervision, the Johnson Controls offerings persuasively, persistently and confidently to all members of the construction community to include contractors, consultants and designers while reaching optimal profit levels. Focuses on all opportunities to allow the contractor to achieve business objectives. Manages multiple, ongoing opportunities. Sells, renews and expands renewable service agreements, including multi-year agreements, to both new and existing assigned customers.
Builds partnering relationships with the owner construction community responsible for the decision-making process to drive the sale of Johnson Control offerings. Actively listens, probes and identifies concerns. Understands the customer's business cycle customer base. Demonstrates technical and business expertise and maintains a high level of credibility. Garners loyalty, trust and commitment from the customer.
Seeks out, targets and initiates contact with multiple prospective customers in alignment with JCI strategy. Develops and maintains a network of industry contacts. Understands and leverages the sales process outcomes as well as demonstrates evidence of advancing the sell. Shares technical knowledge plus business expertise with the customer to match the solution to the customer’s operational need and favorably position Johnson Controls. Qualifies and assesses potential customers.
Addresses customer's operational and environmental objectives, needs and requirements. Recommends solutions and links customer objectives to total value solution and competitive advantage. Differentiates Johnson Controls services and products from competitors by applying creativity, ingenuity, and innovation in a value added sales approach.
Acts as the customer’s advocate in interactions with Johnson Controls to ensure the customer obtains the best value from Johnson Controls offerings. Sets appropriate customer expectations on Johnson Controls offerings. Participates in final project inspection. Ensures that the customer is trained and oriented to system operation and the value of services delivered.Qualifications

What we look for
Bachelor’s degree in business, engineering, or related discipline required.

At least 1-3 years successfully selling HVAC or building automation system industry.
Demonstrates a commitment to integrity and quality in business.
Excellent initiative and interpersonal communications skills.
Demonstrated ability to influence the market at key levels.
Johnson Controls is an equal employment opportunity and affirmative action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, protected veteran status, status as a qualified individual with a disability, or any other characteristic protected by law. For more information, please view EEO is the Law. If you are an individual with a disability and you require an accommodation during the application process, please visit www.johnsoncontrols.com/tomorrowneedsyou.Job Sales & Marketing
Primary LocationUS-IL-Chicago
Organization Bldg Technologies & Solutions
Overtime Status-Exempt"
"81","Sales Representative (Sales Engineer)","Hitachi Chemical Company America, Ltd.","San Jose, CA","San Jose, CAThe role of Sales Engineer is to manage assigned accounts and products. Candidate is required to provide commercial and technical support to customers through working with product engineers, sales coordinators, and sales team and factories in Japan and Asia. Candidate must exhibit skills in sales and marketing, account management, project management, or customer success in a fast paced B2B environment.
Essential Duties and Responsibilities:
• Achieve sales and profit goals by maintaining assigned accounts, focusing on customer retention, and growing sales with the existing customer base.
• Manage assigned accounts and products by providing sales and technical support.
• Prepare and submit quotations to customers upon consultation with management.
• Monitor and manage PO delivery and sample delivery by working with sales coordinators, factories, R & D team and other sales team in Japan and Asia.
• Monitor and manage unpaid invoices by working closely with Accounting dept. and sales coordinators.
• Support the current customer base and establish new customers. Promotes Hitachi Chemical PWB products and services thru customer meetings, teleconferences and sales events (trade shows, etc.)
• Grow overall market share by presenting value-added services and by updating customers with new products information.
• Support the sourcing and exporting of products / materials and supply to partners in Japan and Asia
• Analyze sales performance and report sales results, provide forecasts and customer status to management as required.
• Assist in the sourcing and selling of component products to our partners in Japan.
• Frequently visits customer(s) and develop solid relationships thru providing sales and technical support.
• Handle customer complaints and solve conflicts within the company.
• Participates and supports in Trade Shows/Expositions to strengthen the Hitachi Brand as necessary.
• Visit US customers and Hitachi Chemical global sites as required.
• Gather market intelligence and actively share information amongst global colleagues within Hitachi Chemical.
• Accompany and assist customer visiting Hitachi Chemical sites in Japan and other global sites.
• Accompany and assist Hitachi Chemical engineers and managers visiting US customers from Japan and other global sites.
• Request prospective customer’s credit check to accounting group, and decide the credit limit and payment term by consulting with the accounting group per company policyQualifications
Position Requirements:
• Excellent verbal and written communication skills (English and Japanese)
• Fluent in both English and Japanese
• Detail oriented, ability to maintain timeline
• Achievement oriented
• Proficiency in Microsoft Office Suite (Excel, PowerPoint, Word, etc.)
• General proficiency in forecasting techniques
Position Preferences:
• Printed Circuit Board product related sales experience
• Knowledge of Automated Test Equipment / Semiconductor Testing Equipment products and market
Supervisory Responsibility:
This position has no supervisory responsibilities.
Work Environment: Internal office environment including the typical office items such as a phone, computer, and desk. Additional time will be needed at customer sites usually in meeting rooms. Occasionally, it will be necessary to visit a factory environment for customer audits or similar visits.
Physical Demands: Carrying computer bag or product delivery (<30lbs / box) may be necessary. Otherwise, there are no unusual physical requirements of the position.
Position type: Regular Full Time role
Travel Demands: The position requires 30-40% travel. Travel will include both domestic and international travel. Domestic travel will include both local (car) and long distance (air) travel."
"82","Sales Engineer - Pittsburgh","Pfeiffer Vacuum Inc","Nashua, NH 03063","Nashua, NH 030633+ years experienceJob DescriptionSUMMARY
As directed, performs a variety of tasks involved with pre- or post- sales support.
Prospects for potential customers and maintains strong account relationships with existing customers within the assigned territory, obtaining sales orders for Company related products and services. Substantial customer face time is required for this position and extensive travel within the territory, including overnight stays, is expected to be >50%.
ESSENTIAL DUTIES AND RESPONSIBILITIES
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Exercise of judgment, discretion, and tact in all business matters and business relationships is required. Strong interpersonal skills and the ability to maintain clear and cooperative working relationships with co-workers and demonstrate regular attendance and punctuality are essential. The organization’s leadership promotes collaborative problem solving in both formal and informal work teams. Participation in and contribution to teamwork within the organization is required. Advises management on intelligence gained from the field concerning new product initiatives and development. Additional requirements include experience with high vacuum technology, broad range of vacuum applications knowledge in a variety of markets including Semiconductor, Analytical instrumentation, Coating, Industry and R&D, as well as the ability to stay abreast of changes in those markets. Necessary interpersonal skills include being a self-starter, motivated, creative, flexible, self-confident, deadline oriented and able to multi-task.
Supervisory Responsibilities
None
Duties
1. Establishes a network and schedule of sales calls to customer locations. Follow up on leads.
2. Reviews customer requirements and presents company products that will fill those needs.
3. Coordinates new product introductions. Arranges for product demonstrations, training events and other activities that promote understanding of company products for customers.
4. Use CRM and Outlook as a tool to manage sales activities, opportunities and pipeline. Submit sales reports regularly as defined by management.
5. Forecast sales volume for assigned territory.
6. Communicates with other departments and customers to ensure satisfactory customer support.
7. Meet established Sales Quotas and revenue goals.
8. Regularly consults with manager for guidance in complex situations.
9. Attend sales trainings and sales meetings as required.
Physical Demands
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Tasks require walking, sitting, bending, reaching, mobility, and frequent lifting. Work requires computer skills (word processing, power-point, spreadsheet, and data-entry), attention to detail and accuracy. Communication skills including listening and speaking are required for interaction with other employees, vendors, and customers. Strong interpersonal skills, the ability to balance multiple tasks and any stress associated with the duties and responsibilities of this position are essential requirements in the performance of this job.
The person in this job must be able to travel by air and drive to customer locations. Accordingly, a valid driver’s license and driving record that is satisfactory to the Company must be demonstrated at hire and periodically thereafter.
QualificationsPOSITION REQUIREMENTS
Qualifications
Strong organizational and creative problem solving skills as well as good planning and technical equipment troubleshooting skills required. In depth knowledge of company products is highly desired.
Education and/or Experience
Requires B.S. /B.A. degree, preferably in Mechanical or Electrical Engineering or Physics and Physical Science; M.S Preferred. In-depth knowledge of vacuum technology is essential. Three to Five years of technical sales, applications engineering or customer support related experience is necessary. Knowledge of Microsoft Office is a must.
Language Skills
The ability to communicate in English verbally and in writing is essential. Reports, email correspondence, schedules, presentations are all typical requirements of this position and must be effectively and professionally communicated. This position also serves as a key liaison between the customer and the Company and must articulate critical needs, issues, situations, and plans to keep customer satisfaction high.
Mathematical Skills
Excellent math skills required.
Reasoning Ability
Must be able to multi task and operate in a fast paced environment while maintaining a disciplined approach to oversee major customers’ needs. The ability to understand the customers’ requirements and plan the support strategy is essential. Must be able to solve both practical and complex problems and deal with a variety of factors in situations where only limited standardization exists.
Certificates, Licenses, Registrations
Both a valid drivers license and satisfactory driving record are required at the time of hire and periodically thereafter.
TOOLS AND/OR EQUIPMENT
This position uses a computer extensively with demonstrated abilities in the use of Microsoft products as well as other types of software and office equipment.
WORK ENVIRONMENT
This position will work in various environments including office and factory settings.
Additional InformationPfeiffer Vacuum is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, gender, gender identity, sexual orientation, age, status as a protected veteran, among other things, or status as a qualified individual with disability.
If you are an individual with disabilities who needs accommodation or you are having difficulty using our website to apply for employment, please contact Jill Guilmain at 603-578-6519.
To apply for this position, please copy and paste the link below into your browser:
https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=8e1ad28f-a89c-4641-a60d-27727da10c50&ccId=19000101_000001&jobId=284733&source=CC3&lang=en_US"
"83","Sales Engineer - Graduate Training Program - Colorado, Utah","Ingersoll Rand","Denver, CO 80204 (Central West Denver area)","Denver, CO 802045+ months experienceAt Ingersoll Rand we are passionate about inspiring progress around the world. We advance the quality of life by creating comfortable, sustainable and efficient environments. Our people and our family of brands-including Club Car®, Ingersoll Rand®, Thermo King®, Trane®, American Standard® Heating & Air Conditioning and ARO® - work together to enhance the quality and comfort of air in homes and buildings; transport and protect food and perishables; and increase industrial productivity and efficiency. We are a global business committed to a world of sustainable progress and enduring results. For more information, visit http://www.ingersollrand.com/.
Ingersoll Rand is a diverse and inclusive environment. We are an equal opportunity employer, dedicated to hiring a diverse workforce; including individuals with disabilities and United States qualified protected veterans.Job Summary:
As Technical Sales Engineer, you work with engineers, architects, contractors and owners/developers in the design, application and sale of systems, controls, parts and services for commercial, industrial and institutional buildings. These systems will include the world's most complete line of commercial, industrial and institutional heating, ventilating and air conditioning (HVAC) equipment and building management controls. We seek candidates that want to become more than just a competent engineer. A career in technical sales demands excellent communication, strong interpersonal skills & relationship building, determination and rock solid confidence. You will attend The Trane Graduate Training Program (GTP) a 5-month classroom training program designed to prepare engineers for a rewarding career in technical sales. The program is geared toward developing sales engineers to sell Trane's complex heating, ventilation and air conditioning (HVAC) products and systems to commercial and industrial customers. Upon completion of the Program, you will assume responsibilities of a Sales Account Manager within a pre-assigned office location.
Started in 1926 and recognized as the industry's most comprehensive training program, the GTP provides you with intensive technical, business, sales and leadership training, with an emphasis on maintaining the highest ethical and professional standards. As a participant, you will attend lectures and technical presentations; hear about ""real world"" projects from visiting Trane sales engineers, managers and customers; complete challenging homework assignments; and participate in individual and team projects.
Travel
5 Months Training in La Crosse, WI and Less than 15% in a defined geographic location post La Crosse, WI Training
Qualifications:
Bachelor of Science in Engineering (Open to All Engineering Areas of Emphasis)
Strong Oral and Written Communication skills with desire to impact organization revenue through Sales.
Strong Goal Orientation and desire to pursue Career working directly with Customers as a Technical Sales Consultant.
Possess a Valid State issued Drivers License with ability to provide proof of insurance
We are committed to helping you reach your professional, personal and financial goals. We offer competitive compensation that aligns with our business strategies and comprehensive benefits to help you live your healthiest. We are committed to building an inclusive and diverse culture that engages as well as values the different backgrounds and experiences of our employee, which, in turn, spurs innovation, generates creative solutions and enhances our customer relations.
If you share our passion for inspiring progress-for bringing about bold shifts in how people, economies and societies operate-then you belong with Ingersoll Rand. Progress begins with you."
"84","Sales Engineer/Account Manager - Accurex (Savannah)","Greenheck Group","Savannah, GA","Savannah, GAInterested in working with one of the markets leading manufacturers? The Greenheck Group is a leading growth-focused, environmentally conscious, commercial HVAC manufacturer. Join our team which proudly designs and manufactures the most comprehensive line of ventilation products in the industry. The Greenheck Group is a dynamic multi- branded international organization. Our equipment is used worldwide in commercial, institutional, and industrial facilities, ranging from comfort ventilation to manufacturing processes. Our efficient products improve comfort, safety, and health of lives across the planet. Since 1947, we are deeply committed to helping you “Build Your Future,” through professional growth, challenging leadership roles, and exciting opportunities around the world.
At Accurex, a division of the Greenheck Group, we foster a culture of empowerment, collaboration, and integrity. These core values of our organization allow us to drive innovation and growth allowing us to be a premier provider in foodservice ventilation solutions. Our products range from kitchen hoods, exhaust fans, dedicated make-up air, packaged rooftop units, controls, variable volume systems, fire suppression, utility distribution, and more. Accurex is the full service solution for all kitchen ventilation needs.
Join our innovative team of cutting edge thinkers as we invent and manufacture new types of kitchen ventilation systems for restaurants, national chains, and other critical food service operations. Our company is growing fast and that means you’ll find many opportunities to put your talents to work and take on expanding leadership roles.
General Summary:
Do you enjoy achieving results coupled with a competitive drive to problem-solve and create innovative solutions to increase sales plans and overall effectiveness? The Sales Engineer/Account Manager is responsible for developing and managing the respective sales territory to achieve order volume and profitability goals in the restaurant and industrial kitchen ventilation markets. Enthusiasm to maintain and build various customer rapports including: owners, national accounts, mechanical contractors, mechanical engineers, consultants, and food service equipment contractors will be essential in “seeing the big picture” and growing one’s career with Accurex. We are looking for someone motivated to successfully close sales, driven to succeed and surpass predetermined sales quotas, and is always looking for new opportunities to sell.
Principal Duties & Responsibilities:
Sell, promote and market HVAC and commercial Kitchen Ventilation equipment to Food Service Equipment Dealers and National Chain Accounts
Provide technical and application assistance to Food Service Consultants in order to influence their design and specification requirements
Develop and manage sales plans to increase sales effectiveness. Develop new business along with maintaining and further developing existing business partners
Ensure customer satisfaction
Proactively seek out purchasing decision makers and develop solid business relationships
Deliver successful collaboration efforts by presenting highlights of Accurex products and service capabilities throughout our company
Effectively engage and assist in negotiating contract terms with customers
Explore opportunities to sell additional Accurex products to existing customer base to increase vale of customer/vendor relationships
Promote Facility/Corporate visits with strategically important customers and business partners
Attend trade shows, product shows and industry functions as required to keep informed on activities and changes in the Kitchen Ventilation market place
Job Qualifications:
Bachelor’s degree in engineering, sales, or related field
Minimum 3-5 years of experience preferred
Professional background in either mechanical engineering or outside sales desired. Candidates that possess the technical skills but lack the selling experience will be assigned to an experienced Account Manager for technical sales training
Excellent communication and presentation skills (orally and written) required
Must be willing to work with a high degree of autonomy
AutoCAD, Inventor, or similar software experience desired
Analytical ability required
HVAC experience desired
Proud to be Part of the Greenheck Group
Behind every product manufactured and every service offered by a Greenheck Group company, there is a focus on delivering value — in terms of product reliability and ease of maintenance, energy efficiency, solution-based innovations, responsive and collaborative service, and a commitment to quality of life.
Special Notation
The preceding statements are intended to describe the general nature and level of work being performed by people in this position. They are not intended to be construed as an exhaustive list of all responsibilities, duties and skills.
#LI-POST #IND123"
